title,timezone
Барнаул,+7
Архангельск,+3
Астрахань,+4
Уфа,+5
Белгород,+3
Брянск,+3
Улан-Удэ,+8
Владимир,+3
Волгоград,+3
Волжский,+3
Вологда,+3
Череповец,+3
Воронеж,+3
Махачкала,+3
Чита,+9
Иваново,+3
Иркутск,+8
Калининград,+2
Калуга,+3
Кемерово,+7
Новокузнецк,+7
Киров,+3
Краснодар,+3
Сочи,+3
Красноярск,+7
Симферополь,+3
Курган,+5
Курск,+3
Липецк,+3
Саранск,+3
Москва,+3
Мурманск,+3
Нижний Новгород,+3
Новосибирск,+7
Омск,+6
Оренбург,+5
Орёл,+3
Пенза,+3
Пермь,+5
Владивосток,+10
Ростов-на-Дону,+3
Рязань,+3
Самара,+4
Тольятти,+4
Санкт-Петербург,+3
Саратов,+4
Екатеринбург,+5
Нижний Тагил,+5
Севастополь,+3
Владикавказ,+3
Смоленск,+3
Ставрополь,+3
Казань,+3
Набережные Челны,+3
Тверь,+3
Томск,+7
Тула,+3
Тюмень,+5
Ижевск,+4
Ульяновск,+4
Хабаровск,+10
Сургут,+5
Магнитогорск,+5
Челябинск,+5
Чебоксары,+3
Ярославль,+3
